index,uniqueindex,level,inst,PCWrite,CondWrite,Adr Src,MemWrite ,OldPCWrite,IRWrite,RegWrite,ALUSrcA,ALUSrcB,ImmSrc,ALUOP,ResultSrc,Next
0,0,IF,All,1,0,0,0,1,1,0,00,10,00,00,01,0(+1)
1,1,ID,All,0,0,1,0,0,0,0,01,10 ,10 ,00,00,1(decide)
2,2,EX,B_T,0,1,0,0,0,0,0,10,00,00,01,00,2(finish)
3,3,EX,R_T,0,0,0,0,0,0,0,10,00,00,10,00,0
4,4,MEM,R_T,0,0,0,0,0,0,1,00,00,00,00,00,2
5,5,EX,IA_T,0,0,0,0,0,0,0,10,01,00,11,00,0
6,4,MEM,IA_T,0,0,0,0,0,0,1,00,00,00,00,00,2
7,1,EX,jal,0,0,1,0,0,0,0,01,10,10,00,00,0
8,4,MEM,jal,0,0,0,0,0,0,1,00,00,00,00,00,0
9,6,WD,jal,1,0,0,0,0,0,0,01,01,11,00,01,2
10,1,EX,jalr,0,0,1,0,0,0,0,01,10,10,00,00,0
11,4,MEM,jalr,0,0,0,0,0,0,1,00,00,00,00,00,0
12,7,WD,jalr,1,0,0,0,0,0,0,01,01,00,00,01,2
13,8,EX,sw,0,0,0,0,0,0,0,10,01,01,00,00,0
14,9,MEM,sw,0,0,0,1,0,0,0,0,0,0,0,00,2
15,10,EX,lw,0,0,0,0,0,0,0,10,01,00,00,0,0
16,1,MEM,lw,0,0,1,0,0,0,0,01,10,10,00,00,0
17,11,WD,lw,0,0,0,0,0,0,1,00,00,00,00,10,2
,,,,,,,,,,,,,,,,
